Buffer size;Compression;
8196;1,19182;8
16392;1,24355;16
24588;1,27402;24
32784;1,29668;32
40980;1,31396;40
49176;1,32951;48
57372;1,34297;56
65568;1,35562;64
73764;1,36638;72
81960;1,37643;80
90156;1,38565;88
98352;1,39452;96
106548;1,40282;104
114744;1,41078;112
122940;1,41852;120
131136;1,42529;128
139332;1,4319;136
147528;1,43806;144
155724;1,44414;152
163920;1,44952;160
172116;1,45522;168
180312;1,46013;176
188508;1,46581;184
196704;1,47039;192
204900;1,47537;200
213096;1,48038;208
221292;1,48487;216
229488;1,4893;224
237684;1,4938;232
245880;1,49779;240
254076;1,50171;248
262272;1,50525;256
270468;1,509;264
278664;1,5132;272
286860;1,51692;280
295056;1,5202;288
303252;1,52415;296
311448;1,52711;304
319644;1,53099;312
327840;1,53362;320
336036;1,5373;328
344232;1,54007;336
352428;1,54317;344
360624;1,54566;352
368820;1,54862;360
377016;1,55158;368
385212;1,55347;376
393408;1,55643;384
401604;1,55935;392
409800;1,56192;400
417996;1,56444;408
426192;1,56707;416
434388;1,56988;424
442584;1,57218;432
450780;1,5747;440
458976;1,57711;448
467172;1,57914;456
475368;1,58157;464
483564;1,58341;472
491760;1,58557;480
499956;1,58802;488
508152;1,5899;496
516348;1,5929;504
524544;1,59484;512
